index,tittle,genre,overview,director,cast
511,Anbanavan Asaradhavan Adangadhavan,Action Comedy,A man with multiple personas navigates love and crime.,Adhik Ravichandran,"Silambarasan, Shriya Saran, Tamannaah"
512,Thiruttu Payale 2,Thriller,A cop investigates a blackmail ring targeting married men.,Susi Ganeshan,"Bobby Simha, Prasanna, Amala Paul"
513,Richie,Crime Drama,A journalist uncovers a crime syndicate in a coastal town.,Gautham Ramachandran,"Nivin Pauly, Natty Nataraj, Shraddha Srinath"
514,Mersal,Action Thriller,A doctor and a magician take on corruption in the medical industry.,Atlee,"Vijay, Samantha, Kajal Aggarwal, Nithya Menen"
515,Saani Kaayidham,Action Thriller,A woman seeks revenge against those who destroyed her family.,Arun Matheswaran,"Keerthy Suresh, Selvaraghavan, Lizzie Antony"
516,Enna Solla Pogirai,Romantic Comedy,Three friends navigate love and relationships with comedic twists.,A Hariharan,"Ashwin Kumar, Teju Ashwini, Avantika Mishra"
517,Carbon,Thriller,A man’s quest for treasure leads to unexpected dangers.,Srinivas R,"Vishnu Vishal, Kajal Aggarwal, Srushti Dange"
518,Theal,Action,A man rises in the underworld while facing moral dilemmas.,Harikumar,"Prabhu Deva, Samyuktha Hegde, Easwari Rao"
519,Naai Sekar Returns,Comedy,A man’s comedic quest to retrieve his kidnapped dog.,Suraj,"Vadivelu, Anandraj, Rao Ramesh"
520,Mei Hoom Moosa (Tamil Dub),Comedy Drama,A soldier returns home to clear his name after being presumed dead.,Jibu Jacob,"Suresh Gopi, Saiju Kurup, Poonam Bajwa"
521,Enthada Saji (Tamil Dub),Comedy Drama,A woman’s life changes after an encounter with a mysterious saint.,Godfy Xavier Babu,"Kunchacko Boban, Jayasurya, Nivetha Thomas"
522,Varisu,Family Drama,A young man takes over his father’s business empire while navigating family rivalries.,Vamshi Paidipally,"Vijay, Rashmika Mandanna, Sarathkumar, Prakash Raj"
523,Thunivu,Action Thriller,A mastermind executes a high-stakes bank heist with a hidden motive.,H Vinoth,"Ajith Kumar, Manju Warrier, Samuthirakani, John Kokken"
524,Jailer,Action Drama,A retired jailer takes on a powerful criminal to protect his family.,Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Tamannaah"
525,Leo,Action Thriller,A café owner with a dark past faces off against a dangerous gang.,Lokesh Kanagaraj,"Vijay, Trisha, Sanjay Dutt, Arjun Sarja"
526,Ponniyin Selvan: II,Historical Drama,The Chola dynasty’s power struggles intensify with political intrigue and betrayal.,Mani Ratnam,"Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi, Trisha"
527,Maaveeran,Action Comedy,A cartoonist gains superpowers and fights corruption in his town.,Madonne Ashwin,"Sivakarthikeyan, Aditi Shankar, Mysskin, Saritha"
528,Jigarthanda DoubleX,Period Action,"A filmmaker and a gangster collaborate to make a film in the 1970s, leading to chaos.",Karthik Subbaraj,"Raghava Lawrence, SJ Suryah, Nimisha Sajayan"
529,Por Thozhil,Crime Thriller,A rookie cop teams up with a veteran to catch a serial killer.,Vignesh Raja,"Ashok Selvan, Sarathkumar, Nikhila Vimal"
530,Chithha,Drama,"A man searches for his missing niece, confronting dark societal issues.",SU Arun Kumar,"Siddharth, Nimisha Sajayan, Anjali Nair"
531,Good Night,Romantic Comedy,A man with a snoring problem navigates love and family life with humor.,Vinayak Chandrasekaran,"Manikandan, Meetha Raghunath, Ramesh Thilak"
532,Viduthalai Part 1,Crime Drama,A cop faces moral dilemmas while tackling a rebel group in a rural setting.,Vetrimaaran,"Soori, Vijay Sethupathi, Bhavani Sre, Gautham Menon"
533,Irugapatru,Romantic Drama,"Three couples navigate love, trust, and relationships in modern times.",Yuvaraj Dhayalan,"Vikram Prabhu, Shraddha Srinath, Vidharth, Sri"
534,Ayalaan,Sci-Fi,An alien crash-lands on Earth and teams up with humans to save the planet.,R Ravikumar,"Sivakarthikeyan, Rakul Preet Singh, Karunakaran"
535,Mission: Chapter 1,Action Thriller,A father fights to save his daughter from a terrorist threat.,AL Vijay,"Arun Vijay, Amy Jackson, Nimisha Sajayan"
536,Lover,Romantic Drama,A couple’s relationship is tested by misunderstandings and societal pressures.,Prabhu Ram Vyas,"Manikandan, Sri Gouri Priya, Kanna Ravi"
537,Aranmanai 4,Horror Comedy,A family uncovers supernatural secrets in a haunted mansion.,Sundar C,"Sundar C, Tamannaah, Raashi Khanna, Yogi Babu"
538,Garudan,Action Drama,A loyal friend fights to protect his village from a powerful enemy.,RS Durai Senthilkumar,"Soori, Sasikumar, Unni Mukundan, Samuthirakani"
539,Maharaja,Action Thriller,"A barber seeks vengeance after a mysterious theft, unraveling a dark conspiracy.",Nithilan Swaminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
540,Raayan,Action Drama,A simple man is drawn into a world of crime to protect his family.,Dhanush,"Dhanush, Sundeep Kishan, Dushara Vijayan, SJ Suryah"
541,Andhagan,Thriller,A blind pianist gets entangled in a murder mystery.,Thiagarajan,"Prashanth, Simran, Priya Anand"
542,Demonte Colony 2,Horror Thriller,Friends face supernatural horrors in a haunted apartment complex.,R Ajay Gnanamuthu,"Arulnithi, Priya Bhavani Shankar, Avantika"
543,Vaazhai,Drama,A boy and his family navigate poverty and societal challenges in rural Tamil Nadu.,Mari Selvaraj,"Dhivya Dhuraisamy, Kalaiyarasan, Nikhila Vimal"
544,The Greatest of All Time (GOAT),Sci-Fi Action,A retired agent is recalled to stop a terrorist plot with time-travel elements.,Venkat Prabhu,"Vijay, Prashanth, Prabhu Deva, Meenakshi Chaudhary"
545,Lubber Pandhu,Sports Drama,Rival cricket players navigate personal and professional conflicts.,Tamizharasan Pachamuthu,"Harish Kalyan, Attakathi Dinesh, Sanjana Krishnan"
546,Amaran,War Drama,The life of Major Mukund Varadarajan during a critical military operation in Kashmir.,Rajkumar Periasamy,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora"
547,Mark Antony,Action Sci-Fi,"A gangster discovers a time-traveling phone, leading to chaotic events.",Adhik Ravichandran,"Vishal, SJ Suryah, Ritu Varma"
548,Chandramukhi 2,Horror Comedy,A family faces supernatural chaos in a haunted palace.,P Vasu,"Raghava Lawrence, Kangana Ranaut, Vadivelu"
549,Pathu Thala,Action Drama,A cop goes undercover to take down a powerful gangster.,Obeli N Krishna,"Silambarasan, Gautham Karthik, Priya Bhavani Shankar"
550,Bagheera,Action Thriller,A vigilante fights crime in a city plagued by corruption.,Adhik Ravichandran,"Prabhu Deva, Amyra Dastur, Srikanth"
551,Rudhran,Action,A man seeks justice for his family against a powerful criminal network.,S Kathiresan,"Raghava Lawrence, Priya Bhavani Shankar, Sarathkumar"
552,Thiruvin Kural,Thriller,A mute man uncovers a dark conspiracy while protecting his family.,Harish Prabhu,"Arulnithi, Bharathiraja, Aathmika"
553,Agilan,Action Thriller,A crane operator gets involved in a smuggling ring at a port.,N Kalyanakrishnan,"Jayam Ravi, Priya Bhavani Shankar, Tanya Ravichandran"
554,Kannai Nambathey,Crime Thriller,A man’s life unravels as he’s framed for a crime he didn’t commit.,Mu Maran,"Udhayanidhi Stalin, Aathmika, Bhumika Chawla"
555,Parundhaaguthu Oor Kuruvi,Thriller,A group of friends face danger while on a road trip.,Dhanabalan Govindaraj,"Nishanth Ramachandran, Vinod Sagar, Gayathri Iyer"
556,Viduthalai Part 2,Crime Drama,The continuation of a cop’s battle against a rebel group and systemic corruption.,Vetrimaaran,"Vijay Sethupathi, Soori, Manju Warrier"
557,Dada,Romantic Drama,A young couple navigates love and unexpected parenthood.,Ganesh K Babu,"Kavin, Aparna Das, Bhagyaraj"
558,Bakkiyaraj,Comedy,A quirky tale of mistaken identities in a small town.,Karthik G Krish,"Santhanam, Lavanya Tripathi, Motta Rajendran"
559,Yaadhum Oore Yaavarum Kelir,Drama,A musician’s journey to reconnect with his roots and identity.,Venkata Krishna Roganath,"Vijay Sethupathi, Megha Akash, Kaniha"
560,Pichaikkaran 2,Action Drama,A businessman fights against organ trafficking after a personal tragedy.,Vijay Antony,"Vijay Antony, Kavya Thapar, Yogi Babu"
561,Tamilarasan,Action,A man takes a hospital hostage to save his son’s life.,Babu Yogeswaran,"Vijay Antony, Suresh Gopi, Sonu Sood"
562,Soppana Sundari,Comedy Thriller,A family’s life turns chaotic after winning a car in a raffle.,SG Charles,"Aishwarya Rajesh, Lakshmi Priyaa, Deepa Shankar"
563,Good Luck Sakhi (Tamil Dub),Sports Drama,"A woman trains to become a sharpshooter, defying societal norms.",Nagesh Kukunoor,"Keerthy Suresh, Aadhi Pinisetty, Jagapathi Babu"
564,Theal,Action,A man rises in the underworld while facing moral dilemmas.,Harikumar,"Prabhu Deva, Samyuktha Hegde, Easwari Rao"
565,Bommai,Thriller,A man’s obsession with a mannequin leads to psychological horrors.,Radha Mohan,"SJ Suryah, Priya Bhavani Shankar, Chandini Tamilarasan"
566,Run Baby Run,Thriller,A bank employee gets caught in a deadly chase after witnessing a crime.,Jiyen Krishnakumar,"RJ Balaji, Aishwarya Rajesh, Isha Talwar"
567,Thalaikoothal,Drama,A family grapples with the ethical dilemma of an ancient euthanasia practice.,Jayaprakash Radhakrishnan,"Samuthirakani, Kathir, Vasundhara"
568,Varayan,Comedy,A priest’s humorous journey to save his village from chaos.,Jijo Antony,"Siju Wilson, Leona Lishoy, Maniyanpilla Raju"
569,Ghosty,Horror Comedy,A woman’s spirit seeks revenge in a comedic supernatural tale.,Kalyaan,"Kajal Aggarwal, Yogi Babu, KS Ravikumar"
570,Kondraal Paavam,Crime Drama,"A remake of Kannada film Aa Karaala Ratri, exploring greed and betrayal.",Dayal Padmanabhan,"Varalaxmi Sarathkumar, Charlie, Easwari Rao"
571,Ariyavan,Action,A man fights against human trafficking to save his sister.,Mithran R Jawahar,"Pranali Ghoghare, Daniel Annie Pope, Sathyan"
572,Naan Kadavul Illai,Action Thriller,A cop battles a powerful criminal syndicate.,SA Chandrasekhar,"Samuthirakani, Inigo Prabhakaran, RJ Ananthi"
573,Thugs,Action,A prisoner plans a daring escape to reunite with his lover.,Brinda,"Hridhu Haroon, Anaswara Rajan, Bobby Simha"
574,Single Shankarum Smartphone Simranum,Comedy,A man’s AI-powered phone causes hilarious chaos in his life.,Vignesh Sha,"Shiva, Megha Akash, Maanasa Choudhary"
575,Vasantha Mullai,Thriller,A couple’s romantic getaway turns into a nightmare.,Ramanan Purushothama,"Bobby Simha, Kashmira Pardeshi, Arya"
576,Annapoorani,Drama,A woman defies societal norms to pursue her dream of becoming a chef.,L Nithilan,"Nayanthara, Jai, Sathyaraj"
577,Pattathu Arasan,Action Drama,A family feud escalates into a battle for honor.,Sarkunam,"Atharvaa, Rajkiran, Ashika Ranganath"
578,Naai Sekar Returns,Comedy,A man’s comedic quest to retrieve his kidnapped dog.,Suraj,"Vadivelu, Anandraj, Rao Ramesh"
579,Kalaga Thalaivan,Action Thriller,A corporate employee uncovers a conspiracy and fights back.,Magizh Thirumeni,"Udhayanidhi Stalin, Nidhi Agerwal, Aravind Akash"
580,Coffee with Kadhal,Romantic Comedy,Three siblings navigate love and family dynamics.,Sundar C,"Jiiva, Jai, Srikanth, Malvika Sharma"
581,Love Today,Romantic Comedy,"A couple swaps phones for a day, leading to hilarious revelations.",Pradeep Ranganathan,"Pradeep Ranganathan, Ivana, Raveena Ravi"
582,Sardar,Action Spy Thriller,A spy confronts a dangerous conspiracy involving his past.,PS Mithran,"Karthi, Raashi Khanna, Rajisha Vijayan"
583,Prince,Romantic Comedy,"A teacher falls for a British woman, sparking cultural comedic chaos.",Anudeep KV,"Sivakarthikeyan, Maria Ryaboshapka, Sathyaraj"
584,Nitham Oru Vaanam,Romantic Drama,Three interconnected stories explore love and destiny.,Ra Karthik,"Ashok Selvan, Ritu Varma, Aparna Balamurali"
585,Kaari,Action Drama,A village youth fights to protect his community from exploitation.,Hemanth,"Sasikumar, Parvathy Arun, JD Chakravarthy"
586,Naane Varuvean,Psychological Thriller,A man confronts his dark past and a mysterious twin.,Selvaraghavan,"Dhanush, Indhuja Ravichandran, Yogi Babu"
587,Trigger,Action Thriller,A cop takes on a criminal syndicate to save his kidnapped son.,Sam Anton,"Atharvaa, Tanya Ravichandran, Arun Pandian"
588,Vendhu Thanindhathu Kaadu,Action Drama,A young man’s journey from a village to the Mumbai underworld.,Gautham Menon,"Silambarasan, Siddhi Idnani, Radhika Sarathkumar"
589,Buffoon,Comedy Drama,A man’s political ambitions lead to comedic and chaotic events.,Ashok Veerappan,"Vaibhav, Anagha, Anthakudi Ilayaraja"
590,Aadhaar,Drama,A villager’s struggle to obtain an Aadhaar card exposes systemic issues.,Ramnath Palanikumar,"Karunas, Arun Pandian, Uma Riyaz Khan"
591,Sinam,Action Thriller,A cop seeks justice for his wife’s murder in a small town.,GNR Kumaravelan,"Arun Vijay, Pallak Lalwani, Kaali Venkat"
592,Captain,Action Thriller,An army officer battles a mysterious creature in a restricted forest area.,Shakti Soundar Rajan,"Arya, Aishwarya Lekshmi, Simran"
593,Natchathiram Nagargiradhu,Romantic Drama,"A theater group explores love, caste, and societal norms.",Pa Ranjith,"Dushyanth Sridhar, Kalidas Jayaram, Kalaiyarasan"
594,Thiruchitrambalam,Romantic Comedy,A man navigates love and family dynamics in a lighthearted tale.,Mithran R Jawahar,"Dhanush, Nithya Menen, Raashii Khanna"
595,Jiivi 2,Thriller,A man’s life spirals into chaos as he uncovers a conspiracy.,VJ Gopinath,"Vetri, Ashwini, Karunakaran"
596,Kombu Vatcha Singam,Action Drama,A man fights to protect his village from external threats.,Sathya Prabhas,"Sasikumar, Madonna Sebastian, Soori"
597,Viruman,Action Drama,A young man seeks to reconnect with his estranged father.,M Muthaiah,"Karthi, Aditi Shankar, Rajkiran, Prakash Raj"
598,Sembi,Drama,A tribal girl and her grandmother seek justice after a traumatic event.,Prabu Solomon,"Ashwin Kumar, Kovai Sarala, Thambi Ramaiah"
599,Adrishyam,Thriller,"A man searches for his missing wife, uncovering dark secrets.",Zac Harriss,"Jithan Ramesh, Narain, Sangeetha"
600,Thanne Vandi,Romantic Comedy,A quirky love story set in a small town with comedic twists.,Manika Vidya,"Umapathy Ramaiah, Bala Saravanan, Sanskruti Patel"
601,Pothanur Thabal Nilayam,Comedy Thriller,A post office worker uncovers a scam involving a treasure hunt.,Praveen,"Praveen, Anjali Nair, Venkat Sundar"
602,Kaalangalil Aval Vasantham,Romantic Drama,A young man’s love story takes unexpected turns.,Raghav Mirdath,"Kaushik Ram, Anjali Nair, RJ Ananthi"
603,Methagu 2,Biographical Drama,A revolutionary’s continued fight for justice.,Kitturetnam Sri Balan,"Lizzie Antony, Kutti Manni, Eeshwar"
604,Yaanai Mugathaan,Fantasy Drama,A man encounters a mystical elephant that changes his life.,Rejishh Midhila,"Yogi Babu, Ramesh Thilak, Urvashi"
605,Kaarotiyin Kaadhali,Romantic Drama,A young couple’s love story faces societal obstacles.,Ramnath Palanikumar,"Nikhil, Sri Priyanka, Yogi Babu"
606,Anbanavan Asaradhavan Adangadhavan,Action Comedy,A man with multiple personas navigates love and crime.,Adhik Ravichandran,"Silambarasan, Shriya Saran, Tamannaah"
607,Thiruttu Payale 2,Thriller,A cop investigates a blackmail ring targeting married men.,Susi Ganeshan,"Bobby Simha, Prasanna, Amala Paul"
608,Richie,Crime Drama,A journalist uncovers a crime syndicate in a coastal town.,Gautham Ramachandran,"Nivin Pauly, Natty Nataraj, Shraddha Srinath"
609,Mersal,Action Thriller,A doctor and a magician take on corruption in the medical industry.,Atlee,"Vijay, Samantha, Kajal Aggarwal, Nithya Menen"
610,Saani Kaayidham,Action Thriller,A woman seeks revenge against those who destroyed her family.,Arun Matheswaran,"Keerthy Suresh, Selvaraghavan, Lizzie Antony"
611,Enna Solla Pogirai,Romantic Comedy,Three friends navigate love and relationships with comedic twists.,A Hariharan,"Ashwin Kumar, Teju Ashwini, Avantika Mishra"
612,Carbon,Thriller,A man’s quest for treasure leads to unexpected dangers.,Srinivas R,"Vishnu Vishal, Kajal Aggarwal, Srushti Dange"
613,Web,Psychological Thriller,"Four girls are kidnapped after a party, leading to a tense investigation.",N Haroon,"Natty Subramaniam, Shilpa Manjunath, Rajendran"
614,Murmur,Horror,A chilling tale of supernatural events haunting a small town.,Hemnath Narayanan,"Richie Kapoor, Devaraj Arumugam, Yuvika Rajendran"
615,Baby and Baby,Comedy Drama,"Two couples accidentally switch babies, leading to comedic chaos.",S Sakthivel,"Jai, Sathyaraj, Yogi Babu, KS Ravikumar"
616,Vaanil Thedinen,Romantic Drama,"A series exploring love, loss, and healing in modern relationships.",Alvin Deva,"Kishaan CV, Madhan Kumar, Pooja Soundar"
617,Pisasu 2,Horror,A woman faces supernatural horrors after a tragic event.,Mysskin,"Andrea Jeremiah, Vijay Sethupathi, Rajkumar Pitchumani"
618,Partner,Comedy,Two friends get entangled in a hilarious scam.,Manoj Damodharan,"Aadhi Pinisetty, Hansika Motwani, Yogi Babu"
619,Regina,Thriller,A woman seeks justice after a personal tragedy.,Domin Dsilva,"Sunaina, Ananth Nag, Sai Ravi"
620,Aneethi,Action Drama,A man’s quest for justice leads to a violent confrontation.,Vasantha Balan,"Arjun Das, Dushara Vijayan, Kalaiyarasan"
621,Kick,Action,A young man takes on a criminal syndicate to save his love.,Prashant Raj,"Santhanam, Tanya Hope, Ragini Dwivedi"
622,Theera Kaadhal,Romantic Drama,"Two former lovers reunite, sparking emotional chaos.",Rohin Venkatesan,"Jai, Aishwarya Rajesh, Sshivada"
623,Marakkuma Nenjam,Romantic Comedy,A school reunion brings back old flames and memories.,Yoagandran,"Rakshith, Malina, Dheena"
624,Karungaapiyam,Horror,A woman uncovers dark secrets in a haunted village.,D Karthikeyan,"Kajal Aggarwal, Regina Cassandra, Janani Iyer"
625,Kazhuvethi Moorkkan,Action Drama,A village youth fights against caste oppression.,SY Gowthamaraj,"Arulnithi, Dushara Vijayan, Santhosh Prathap"
626,Farhana,Thriller,A woman’s new job leads to dangerous consequences.,Nelson Venkatesan,"Aishwarya Rajesh, Selvaraghavan, Jithan Ramesh"
627,Erumbu,Drama,A family faces financial struggles and emotional bonds.,Suresh G,"Charlie, Monica Siva, Shakthi Rithvik"
628,Burqa,Drama,A woman navigates societal constraints and personal freedom.,Sarjun KM,"Kalaiyarasan, Mirnaa Menon, Vinoth Sagar"
629,Yaathisai,Historical Drama,A warrior tribe fights against a powerful kingdom in ancient times.,Dharani Rasendran,"Shakthi Mithran, Seyon, Rajalakshmi"
630,Asvins,Horror,A group of YouTubers face supernatural horrors in a haunted mansion.,Tarun Teja,"Vasantha Krishnan, Vimala Raman, Muralidaran"
631,Maamannan,Political Drama,A politician’s son fights against caste-based oppression.,Mari Selvaraj,"Vadivelu, Udhayanidhi Stalin, Fahadh Faasil, Keerthy Suresh"
632,Bumper,Comedy,A man’s lottery win leads to unexpected comedic chaos.,M Selvakumar,"Vetri, Shivani Narayanan, Hareesh Peradi"
633,Thandatti,Comedy Drama,A village cop navigates love and duty with humor.,Ram Sanganatham,"Pasupathy, Rohini, Ammu Abhirami"
634,D3,Thriller,A woman uncovers a conspiracy after her husband’s mysterious death.,Balaaji,"Prajin, Vidya Pradeep, Charlie"
635,Deiva Machan,Fantasy Comedy,"A man receives divine messages, leading to comedic adventures.",Martyn Nirmal Kumar,"Vimal, Anitha Sampath, Balaji Sakthivel"
636,Kundakka Mandakka,Comedy,A village youth’s misadventures lead to hilarious situations.,Vignesh Karthick,"Yogi Babu, Priyanka Sharma, Vinothini"
637,Pathirakaalam,Drama,A family road trip reveals deep emotional truths.,Priyanandanan,"Shaji, Indrans, Anu Sithara"
638,Sathiya Sodhanai,Thriller,A man’s quest for truth uncovers a web of deceit.,Suresh Sangaiah,"Prem Kumar, Swayam Siddha, Lakshmi Priyaa"
639,Uruvam,Horror,A family faces supernatural terrors in their new home.,Arooran,"Sivam, Jeyan, Monica"
640,Thuritham,Drama,A man’s journey to reconnect with his estranged family.,V Sabareesh,"Jegan, Eden Kuriakose, Aishwarya"
641,Sync,Thriller,A tech worker uncovers a dangerous corporate conspiracy.,Vikas Anand Sridharan,"Kishen Das, Monica Chinnakotla, Naveen George"
642,Raakayoor,Action,A warrior fights to protect his village from invaders.,Vignesh Karthick,"Santhosh Prathap, Anupama Kumar, Rohit Menon"
643,Unnaal Ennaal,Romantic Comedy,A quirky love story unfolds amidst misunderstandings.,Karthik Subramanian,"Siva, Priyanka, Vinoth Kumar"
644,Malaikottai Vaaliban (Tamil Dub),Period Action,A warrior’s journey through a mythical land filled with challenges.,Lijo Jose Pellissery,"Mohanlal, Sonalee Kulkarni, Hareesh Peradi"
645,Ayalvaasi,Comedy,A man’s comedic attempts to impress his in-laws go awry.,Irshad Parari,"Soubin Shahir, Binu Pappu, Nikhila Vimal"
646,Kida,Drama,A boy and his grandfather navigate poverty and societal challenges.,Ra Venkat,"Poo Ramu, Kaali Venkat, Deepan"
647,Modern Love Chennai,Anthology Romance,Six stories explore love in modern Chennai.,Various Directors,"Ashok Selvan, Wamiqa Gabbi, Ritu Varma"
648,Pareshan (Tamil Dub),Comedy,A young man’s misadventures in a rural setting.,Rupak Ronaldson,"Thiruveer, Pavani Karanam, Bunny Abhiran"
649,Rayar Parambarai,Comedy,A family’s inheritance dispute leads to comedic chaos.,Ram,"Krishna, Saranya Ponvannan, Anju Kurian"
650,Let’s Get Married,Romantic Comedy,A couple’s wedding plans face hilarious obstacles.,Ramesh Tamilmani,"Harish Kalyan, Ivana, Nadia Moidu"
651,Parking,Thriller,A parking dispute escalates into a dangerous confrontation.,Ramkumar Balakrishnan,"Harish Kalyan, MS Bhaskar, Indhuja Ravichandran"
652,Annapurna Photo Studio (Tamil Dub),Comedy Thriller,A photographer gets entangled in a mysterious case.,Chendu Muddineni,"Chaitanya Rao, Lavanya, Mihiraam"
653,Chennai Story,Romantic Drama,A cross-cultural love story unfolds in Chennai.,BA Raju,"Shruti Haasan, Viveik Kalra, Samyuktha Hegde"
654,80s Buildup,Comedy,A man’s nostalgic journey through the 80s leads to comedic chaos.,Kalyaan,"Santhanam, Radhika Preeti, KS Ravikumar"
655,Conjuring Kannappan,Horror Comedy,A man accidentally unleashes a supernatural entity.,Selvin Raj Xavier,"Sathish, Regina Cassandra, Nassar"
656,Journey of Love 18+ (Tamil Dub),Romantic Comedy,A couple’s road trip turns into a comedic adventure.,Arun D Jose,"Naslen, Mathew Thomas, Meenakshi"
657,Shot Boot Three,Family Drama,A group of kids embark on an adventure to save a pet.,Arun Vaidyanathan,"Sneha, Venkat, Kailash Heet"
658,Vivekanandan Viralaanu (Tamil Dub),Comedy Drama,A man’s quirky life takes unexpected turns.,Kamal,"Shine Tom Chacko, Swasika, Grace Antony"
659,Ape School,Comedy,A teacher’s misadventures in a chaotic school.,Santhosh Venky,"Santhanam, Yogi Babu, Motta Rajendran"
660,Vithaikkaaran,Comedy Thriller,A conman’s heist plan goes hilariously wrong.,Venkat Prabhu,"Sathish, Simran, Anchal Singh"
661,Operation Valentine (Tamil Dub),Action,A pilot undertakes a daring mission during a crisis.,Shakti Pratap Singh,"Varun Tej, Manushi Chhillar, Paresh Pahuja"
662,Ambajipeta Marriage Band (Tamil Dub),Drama,A wedding band leader navigates love and caste issues.,Dushyanth Katikaneni,"Suhas, Shivani Nagaram, Saranya Pradeep"
663,Eagle (Tamil Dub),Action Thriller,A mercenary takes on a dangerous mission.,Karthik Gattamneni,"Ravi Teja, Anupama Parameswaran, Kavya Thapar"
664,Lal Salaam,Sports Drama,A cricketer’s rivalry reflects deeper social tensions.,Aishwarya Rajinikanth,"Vishnu Vishal, Vikranth, Rajinikanth"
665,Siren,Thriller,An ex-convict seeks redemption while uncovering a conspiracy.,Antony Bhagyaraj,"Jayam Ravi, Keerthy Suresh, Anupama Parameswaran"
666,Madame Web (Tamil Dub),Sci-Fi Thriller,A woman discovers her clairvoyant powers to change destinies.,SJ Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced"
667,Blue Star,Sports Drama,Two rival cricket teams navigate caste and personal conflicts.,S Jayakumar,"Ashok Selvan, Shanthanu Bhagyaraj, Keerthi Pandian"
668,Singapore Saloon,Comedy Drama,A hairstylist chases his dream of opening a salon.,Gokul,"RJ Balaji, Meenakshi Chaudhary, Sathyaraj"
669,Malaikottai Vaaliban (Tamil Dub),Period Action,A warrior’s mythical journey through challenges.,Lijo Jose Pellissery,"Mohanlal, Sonalee Kulkarni, Hareesh Peradi"
670,Thookudurai,Comedy,A family’s treasure hunt leads to hilarious chaos.,Dennis Manjunath,"Yogi Babu, Ineya, Mahesh"
671,Khichdi 2 (Tamil Dub),Comedy,A family’s chaotic mission to save a kingdom.,Aatish Kapadia,"Supriya Pathak, Rajeev Mehta, Anang Desai"
672,Jama,Comedy,A village youth’s comedic rise to fame.,Pari Elavazhagan,"Pari Elavazhagan, Ammu Abhirami, Chetan"
673,Vadakkupatti Ramasamy,Comedy,A conman’s schemes lead to unexpected consequences.,Karthik Yogi,"Santhanam, Megha Akash, Nizhalgal Ravi"
674,Byri,Drama,A pigeon racer faces challenges in his personal and professional life.,John Glady,"Syed Majeed, Vinithra Menon, Viji Sekar"
675,Merry Christmas,Thriller,A chance encounter on Christmas Eve leads to a dark mystery.,Sriram Raghavan,"Vijay Sethupathi, Katrina Kaif, Radhika Apte"
676,Lucky Baskhar,Crime Drama,A banker’s rise to wealth hides a dangerous secret.,Venky Atluri,"Dulquer Salmaan, Meenakshi Chaudhary, Aishwarya Lekshmi"
677,Mission,Action,A covert operation unravels a global conspiracy.,AL Vijay,"Arun Vijay, Amy Jackson, Nimisha Sajayan"
678,Pogum,Thriller,A man’s quest for truth leads to dangerous revelations.,Micheal K Raja,"Aadhi Pinisetty, Anjali, Viddharth"
679,Kishkindha Kaandam (Tamil Dub),Thriller,A couple’s serene life is disrupted by mysterious events.,Dinjith Ayyathan,"Asif Ali, Aparna Balamurali, Vijayaraghavan"
680,Satyam Sundaram (Tamil Dub),Drama,A man reconnects with his past in a nostalgic journey.,C Prem Kumar,"Karthi, Arvind Swamy, Indumathy Manikandan"
681,Anandhapuram Diaries (Tamil Dub),Drama,A woman’s journey through love and self-discovery.,Jaya Jose Raj,"Meera Jasmine, Srikanth, Renji Panicker"
682,Mathimaran,Drama,A man with dwarfism fights societal prejudice.,Mantra Veerapandian,"Venkat Senguttuvan, Ivana, MS Bhaskar"
683,Athomugam,Thriller,A man uncovers a conspiracy in his small town.,Sunil Dev,"SP Siddharth, Anjalidevi, Aaron"
684,Chennai City Gangsters,Action Comedy,A group of friends get entangled in a comedic crime caper.,Arun Matheswaran,"Vishnu Vishal, Vikranth, Sunaina"
685,Idiyappam,Comedy,A chef’s culinary dreams lead to hilarious mishaps.,Sree Saran,"Santhosh Prathap, Gayathri, Vinoth Kishan"
686,Por,Action,Rival college students escalate tensions into a violent conflict.,Bejoy Nambiar,"Arjun Das, Kalidas Jayaram, TJ Bhanu"
687,Aalakaalam,Drama,A family navigates societal changes and personal struggles.,Jithin Raj,"Easwari Rao, Chandini Tamilarasan, Jaya Krishnamoorthy"
688,Thalaimai Seyalagam,Political Thriller,A political conspiracy unfolds in a small town.,Vasanthabalan,"Sriya Reddy, Kishore, Kani Kusruti"
689,Kottukkaali,Drama,"A woman defies her family’s marriage plans, sparking conflict.",PS Vinothraj,"Soori, Anna Ben, Thangadurai"
690,Nandhan,Drama,A tribal man fights for his community’s rights.,Era Saravanan,"Sasikumar, Vidharth, Gauthami VJ"
691,Black,Thriller,A man’s investigation into a murder reveals dark secrets.,KG Balasubramani,"Jiiva, Priya Bhavani Shankar, Vinoth Kishan"
692,Raghu Thatha,Comedy Drama,A woman’s rebellion against societal norms with humor.,Suman Kumar,"Keerthy Suresh, MS Bhaskar, Devadarshini"
